timestamp,catchment_precip_mm,valid_grid_fraction,source_product
2024-07-04 08:00:00+00:00,0.373,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 09:00:00+00:00,0.429,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 10:00:00+00:00,0.571,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 11:00:00+00:00,0.461,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 12:00:00+00:00,0.334,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 13:00:00+00:00,0.298,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 14:00:00+00:00,0.502,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 15:00:00+00:00,0.424,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 16:00:00+00:00,0.772,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 17:00:00+00:00,1.394,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 18:00:00+00:00,1.088,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 19:00:00+00:00,1.035,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 20:00:00+00:00,1.034,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 21:00:00+00:00,0.735,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 22:00:00+00:00,1.053,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-04 23:00:00+00:00,1.487,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 00:00:00+00:00,1.644,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 01:00:00+00:00,1.244,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 02:00:00+00:00,1.211,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 03:00:00+00:00,1.474,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 04:00:00+00:00,1.955,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 05:00:00+00:00,2.048,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 06:00:00+00:00,1.686,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 07:00:00+00:00,1.194,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 08:00:00+00:00,0.608,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 09:00:00+00:00,0.369,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 10:00:00+00:00,0.323,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 11:00:00+00:00,0.244,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 12:00:00+00:00,0.166,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 13:00:00+00:00,0.756,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 14:00:00+00:00,0.896,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 15:00:00+00:00,0.723,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 16:00:00+00:00,0.644,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 17:00:00+00:00,0.325,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 18:00:00+00:00,0.341,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 19:00:00+00:00,0.354,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 20:00:00+00:00,0.235,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 21:00:00+00:00,0.102,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 22:00:00+00:00,0.036,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-07-05 23:00:00+00:00,0.02,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
