time_prototype_s,Q_prototype_m3s,time_model_s,Q_model_m3s,V_inlet_model_ms
167622.0,722885.5469999999,42.2,7.228855469999999,1.9969214005524858
167623.0,722911.6388333333,42.3,7.229116388333333,1.9969934774401472
167624.0,722937.7306666666,42.4,7.229377306666667,1.9970655543278084
167625.0,722963.8225,42.5,7.229638225,1.9971376312154696
167626.0,722989.9143333333,42.6,7.229899143333332,1.9972097081031304
167627.0,723016.0061666666,42.7,7.230160061666666,1.9972817849907918
167628.0,723042.098,42.8,7.23042098,1.997353861878453
167629.0,723068.1898333333,42.9,7.230681898333333,1.997425938766114
167630.0,723094.2816666666,43.0,7.2309428166666665,1.9974980156537752
167631.0,723120.3735,43.1,7.231203735,1.9975700925414366
167632.0,723146.4653333332,43.2,7.231464653333332,1.9976421694290973
167633.0,723172.5571666666,43.3,7.231725571666666,1.9977142463167585
167634.0,723198.649,43.4,7.23198649,1.9977863232044197
167635.0,723224.7408333333,43.5,7.2322474083333335,1.997858400092081
167636.0,723250.8326666666,43.6,7.232508326666666,1.997930476979742
167637.0,723276.9245,43.7,7.232769245,1.9980025538674033
167638.0,723303.0163333333,43.8,7.233030163333333,1.9980746307550643
167639.0,723329.1081666666,43.9,7.233291081666666,1.9981467076427253
167640.0,723355.2,44.0,7.2335519999999995,1.9982187845303865
167641.0,723361.0376666667,44.1,7.233610376666666,1.9982349106813995
167642.0,723366.8753333333,44.2,7.233668753333332,1.9982510368324122
167643.0,723372.713,44.3,7.23372713,1.9982671629834254
167644.0,723378.5506666666,44.4,7.233785506666666,1.998283289134438
167645.0,723384.3883333333,44.5,7.233843883333333,1.998299415285451
167646.0,723390.2259999999,44.6,7.233902259999999,1.9983155414364637
167647.0,723396.0636666666,44.7,7.233960636666667,1.998331667587477
167648.0,723401.9013333333,44.8,7.2340190133333335,1.99834779373849
167649.0,723407.739,44.9,7.2340773899999995,1.9983639198895025
167650.0,723413.5766666667,45.0,7.234135766666666,1.9983800460405154
167651.0,723419.4143333333,45.1,7.234194143333332,1.9983961721915282
167652.0,723425.252,45.2,7.23425252,1.9984122983425414
167653.0,723431.0896666666,45.3,7.234310896666666,1.9984284244935542
167654.0,723436.9273333333,45.4,7.234369273333333,1.998444550644567
167655.0,723442.7649999999,45.5,7.234427649999999,1.9984606767955797
167656.0,723448.6026666666,45.6,7.234486026666666,1.9984768029465927
167657.0,723454.4403333333,45.7,7.2345444033333335,1.998492929097606
167658.0,723460.2779999999,45.8,7.2346027799999995,1.9985090552486187
167659.0,723466.1156666667,45.9,7.234661156666666,1.9985251813996314
167660.0,723471.9533333333,46.0,7.234719533333332,1.9985413075506442
167661.0,723477.791,46.1,7.23477791,1.9985574337016574
167662.0,723483.6286666666,46.2,7.234836286666666,1.9985735598526702
167663.0,723489.4663333333,46.3,7.234894663333333,1.9985896860036831
167664.0,723495.304,46.4,7.23495304,1.998605812154696
167665.0,723501.1416666666,46.5,7.235011416666666,1.9986219383057087
167666.0,723506.9793333333,46.6,7.235069793333333,1.9986380644567219
167667.0,723512.8169999999,46.7,7.235128169999999,1.9986541906077346
167668.0,723518.6546666666,46.8,7.235186546666666,1.9986703167587476
167669.0,723524.4923333332,46.9,7.235244923333332,1.9986864429097602
167670.0,723530.33,47.0,7.2353033,1.9987025690607734
167671.0,723536.1676666667,47.1,7.235361676666667,1.9987186952117864
167672.0,723542.0053333333,47.2,7.235420053333333,1.9987348213627991
167673.0,723547.843,47.3,7.23547843,1.998750947513812
167674.0,723553.6806666666,47.4,7.235536806666666,1.9987670736648246
167675.0,723559.5183333333,47.5,7.235595183333333,1.9987831998158379
167676.0,723565.3559999999,47.6,7.235653559999999,1.9987993259668506
167677.0,723571.1936666666,47.7,7.235711936666666,1.9988154521178636
167678.0,723577.0313333333,47.8,7.235770313333333,1.9988315782688766
167679.0,723582.869,47.9,7.235828689999999,1.9988477044198891
167680.0,723588.7066666667,48.0,7.235887066666667,1.9988638305709023
167681.0,723594.5443333333,48.1,7.235945443333333,1.998879956721915
167682.0,723600.382,48.2,7.23600382,1.998896082872928
167683.0,723606.2196666666,48.3,7.236062196666666,1.9989122090239406
167684.0,723612.0573333333,48.4,7.236120573333333,1.9989283351749538
167685.0,723617.8949999999,48.5,7.236178949999999,1.9989444613259666
167686.0,723623.7326666666,48.6,7.236237326666666,1.9989605874769796
167687.0,723629.5703333333,48.7,7.236295703333333,1.9989767136279926
167688.0,723635.4079999999,48.8,7.236354079999999,1.998992839779005
167689.0,723641.2456666667,48.9,7.236412456666667,1.9990089659300183
167690.0,723647.0833333333,49.0,7.236470833333333,1.999025092081031
167691.0,723652.921,49.1,7.23652921,1.999041218232044
167692.0,723658.7586666666,49.2,7.236587586666666,1.9990573443830568
167693.0,723664.5963333333,49.3,7.236645963333333,1.99907347053407
167694.0,723670.434,49.4,7.23670434,1.9990895966850828
167695.0,723676.2716666666,49.5,7.236762716666666,1.9991057228360956
167696.0,723682.1093333333,49.6,7.236821093333333,1.9991218489871085
167697.0,723687.9469999999,49.7,7.236879469999999,1.9991379751381213
167698.0,723693.7846666666,49.8,7.236937846666667,1.9991541012891343
167699.0,723699.6223333332,49.9,7.236996223333333,1.999170227440147
167700.0,723705.46,50.0,7.2370546,1.99918635359116
167701.0,723691.1291666667,50.1,7.236911291666667,1.9991467656537754
167702.0,723676.7983333333,50.2,7.236767983333333,1.9991071777163905
167703.0,723662.4674999999,50.3,7.236624674999999,1.9990675897790051
167704.0,723648.1366666666,50.4,7.236481366666666,1.9990280018416204
167705.0,723633.8058333333,50.5,7.236338058333333,1.9989884139042355
167706.0,723619.475,50.6,7.23619475,1.9989488259668509
167707.0,723605.1441666667,50.7,7.236051441666667,1.9989092380294657
167708.0,723590.8133333334,50.8,7.235908133333334,1.998869650092081
167709.0,723576.4824999999,50.9,7.2357648249999995,1.998830062154696
167710.0,723562.1516666666,51.0,7.235621516666666,1.998790474217311
167711.0,723547.8208333333,51.1,7.235478208333333,1.9987508862799264
167712.0,723533.49,51.2,7.2353349,1.9987112983425412
167713.0,723519.1591666667,51.3,7.235191591666667,1.9986717104051566
167714.0,723504.8283333333,51.4,7.235048283333333,1.9986321224677714
167715.0,723490.4974999999,51.5,7.234904974999999,1.9985925345303865
167716.0,723476.1666666666,51.6,7.2347616666666665,1.9985529465930016
167717.0,723461.8358333333,51.7,7.234618358333333,1.9985133586556167
167718.0,723447.505,51.8,7.23447505,1.998473770718232
167719.0,723433.1741666667,51.9,7.234331741666667,1.9984341827808472
167720.0,723418.8433333333,52.0,7.234188433333332,1.9983945948434618
167721.0,723404.5125,52.1,7.234045125,1.9983550069060771
167722.0,723390.1816666666,52.2,7.233901816666666,1.9983154189686922
167723.0,723375.8508333333,52.3,7.233758508333334,1.9982758310313076
167724.0,723361.52,52.4,7.2336152,1.9982362430939227
167725.0,723347.1891666666,52.5,7.233471891666666,1.9981966551565373
167726.0,723332.8583333333,52.6,7.233328583333333,1.9981570672191526
167727.0,723318.5275,52.7,7.233185274999999,1.9981174792817677
167728.0,723304.1966666667,52.8,7.233041966666667,1.998077891344383
167729.0,723289.8658333333,52.9,7.232898658333333,1.9980383034069982
167730.0,723275.5349999999,53.0,7.232755349999999,1.9979987154696128
167731.0,723261.2041666666,53.1,7.232612041666666,1.9979591275322282
167732.0,723246.8733333333,53.2,7.232468733333333,1.9979195395948433
167733.0,723232.5425,53.3,7.232325425,1.9978799516574586
167734.0,723218.2116666667,53.4,7.232182116666666,1.9978403637200735
167735.0,723203.8808333334,53.5,7.232038808333334,1.9978007757826888
167736.0,723189.5499999999,53.6,7.231895499999999,1.9977611878453037
167737.0,723175.2191666666,53.7,7.231752191666666,1.9977215999079188
167738.0,723160.8883333333,53.8,7.231608883333333,1.997682011970534
167739.0,723146.5575,53.9,7.231465575,1.997642424033149
167740.0,723132.2266666667,54.0,7.231322266666667,1.9976028360957643
167741.0,723117.8958333333,54.1,7.231178958333333,1.9975632481583792
167742.0,723103.565,54.2,7.231035649999999,1.9975236602209943
167743.0,723089.2341666666,54.3,7.230892341666666,1.9974840722836094
167744.0,723074.9033333333,54.4,7.230749033333333,1.9974444843462245
167745.0,723060.5725,54.5,7.230605725,1.9974048964088398
167746.0,723046.2416666667,54.6,7.230462416666667,1.9973653084714549
167747.0,723031.9108333333,54.7,7.230319108333333,1.9973257205340698
167748.0,723017.58,54.8,7.2301758,1.9972861325966849
167749.0,723003.2491666666,54.9,7.230032491666666,1.9972465446593
167750.0,722988.9183333333,55.0,7.229889183333333,1.9972069567219153
167751.0,722974.5875,55.1,7.229745875,1.9971673687845304
167752.0,722960.2566666666,55.2,7.229602566666666,1.9971277808471453
167753.0,722945.9258333333,55.3,7.229459258333333,1.9970881929097604
167754.0,722931.595,55.4,7.22931595,1.9970486049723757
167755.0,722917.2641666667,55.5,7.229172641666667,1.9970090170349908
167756.0,722902.9333333333,55.6,7.229029333333333,1.9969694290976057
167757.0,722888.6025,55.7,7.228886025,1.996929841160221
167758.0,722874.2716666666,55.8,7.228742716666666,1.9968902532228359
167759.0,722859.9408333333,55.9,7.228599408333333,1.9968506652854512
167760.0,722845.61,56.0,7.2284561,1.9968110773480663
167761.0,722811.288,56.1,7.228112879999999,1.9967162651933699
167762.0,722776.966,56.2,7.22776966,1.9966214530386739
